main_category,product_count,avg_selling_price,avg_cost,total_revenue,total_profit,avg_profit,avg_margin_pct,avg_gross_margin
Toys & Games,6581,34.27858684090564,23.995010788633945,225587.38,67676.214,10.283576052271693,42.85714285714287,30.000000000000004
Home & Kitchen,695,86.80397122302159,60.7627798561151,60328.76,18098.628000000004,26.04119136690648,42.85714285714286,30.000000000000004
Sports & Outdoors,488,85.09196721311474,59.56437704918032,41524.88,12457.464000000002,25.52759016393443,42.85714285714286,30.000000000000004
Unknown,829,32.690663449939684,22.883464414957782,27100.56,8130.168000000001,9.807199034981906,42.85714285714286,30.000000000000004
"Clothing, Shoes & Jewelry",629,26.477599364069953,18.534319554848967,16654.41,4996.323,7.943279809220987,42.85714285714287,30.000000000000007
Baby Products,214,27.963644859813087,19.574551401869158,5984.22,1795.2660000000003,8.389093457943927,42.85714285714286,30.000000000000004
Office Products,75,37.361333333333334,26.15293333333333,2802.1,840.6300000000002,11.208400000000003,42.85714285714286,30.000000000000007
Industrial & Scientific,29,66.38724137931034,46.47106896551723,1925.23,577.5690000000001,19.916172413793106,42.85714285714287,30.000000000000004
"Arts, Crafts & Sewing",122,14.933442622950821,10.453409836065575,1821.88,546.5640000000001,4.480032786885246,42.85714285714286,30.000000000000004
Remote & App Controlled Vehicle Parts,22,70.74818181818182,49.52372727272727,1556.46,466.9380000000001,21.22445454545455,42.85714285714286,30.000000000000004
Hobbies,34,40.81588235294117,28.57111764705882,1387.74,416.32200000000006,12.244764705882355,42.85714285714286,30.000000000000004
Tools & Home Improvement,17,38.265882352941176,26.786117647058823,650.52,195.156,11.479764705882353,42.85714285714286,30.000000000000004
"Patio, Lawn & Garden",12,52.16583333333333,36.51608333333333,625.99,187.79700000000003,15.649750000000003,42.85714285714286,30.000000000000004
Health & Household,23,21.85608695652174,15.299260869565217,502.69,150.80700000000002,6.556826086956522,42.85714285714287,30.000000000000004
Remote & App Controlled Vehicles & Parts,17,19.22470588235294,13.457294117647058,326.82,98.046,5.767411764705883,42.85714285714286,30.000000000000004
Pet Supplies,15,18.882,13.217399999999998,283.23,84.96900000000001,5.664600000000001,42.85714285714287,30.000000000000007
Electronics,7,30.277142857142856,21.194,211.94,63.58200000000001,9.083142857142859,42.85714285714287,30.000000000000004
Musical Instruments,2,102.095,71.4665,204.19,61.257000000000005,30.628500000000003,42.85714285714286,30.0
Beauty & Personal Care,11,14.022727272727273,9.81590909090909,154.25,46.275000000000006,4.206818181818182,42.85714285714287,30.000000000000004
Grocery & Gourmet Food,11,12.193636363636363,8.535545454545455,134.13,40.239000000000004,3.6580909090909093,42.85714285714287,30.000000000000004
Automotive,9,14.452222222222222,10.116555555555555,130.07,39.02100000000001,4.3356666666666674,42.85714285714286,30.000000000000007
Video Games,5,25.28,17.695999999999998,126.4,37.92000000000001,7.584000000000001,42.85714285714287,30.000000000000007
Movies & TV,1,14.99,10.493,14.99,4.497,4.497,42.857142857142854,30.0
Cell Phones & Accessories,1,8.25,5.7749999999999995,8.25,2.4750000000000005,2.4750000000000005,42.85714285714287,30.000000000000004
